axis	ma      
835.55	4.26E-02
835.91	4.26E-02
836.27	4.27E-02
836.63	4.28E-02
836.99	4.28E-02
837.35	4.29E-02
837.71	4.29E-02
838.07	4.30E-02
838.43	4.30E-02
838.79	4.31E-02
839.15	4.32E-02
839.51	4.32E-02
839.87	4.33E-02
840.23	4.33E-02
840.59	4.34E-02
840.95	4.35E-02
841.31	4.35E-02
841.67	4.36E-02
842.03	4.36E-02
842.39	4.37E-02
842.75	4.38E-02
843.11	4.38E-02
843.47	4.39E-02
843.83	4.39E-02
844.19	4.40E-02
844.55	4.41E-02
844.91	4.41E-02
845.27	4.42E-02
845.63	4.42E-02
845.99	4.43E-02
846.35	4.44E-02
846.71	4.44E-02
847.07	4.45E-02
847.43	4.45E-02
847.79	4.46E-02
848.15	4.47E-02
848.51	4.47E-02
848.87	4.48E-02
849.23	4.49E-02
849.59	4.49E-02
849.95	4.50E-02
850.32	4.50E-02
850.68	4.51E-02
851.04	4.52E-02
851.4	4.52E-02
851.76	4.53E-02
852.12	4.54E-02
852.48	4.54E-02
852.84	4.55E-02
853.2	4.55E-02
853.56	4.56E-02
853.92	4.57E-02
854.28	4.57E-02
854.64	4.58E-02
855	4.59E-02
855.36	4.59E-02
855.72	4.60E-02
856.08	4.61E-02
856.44	4.61E-02
856.8	4.62E-02
857.16	4.63E-02
857.52	4.63E-02
857.88	4.64E-02
858.24	4.65E-02
858.6	4.65E-02
858.96	4.66E-02
859.32	4.67E-02
859.68	4.67E-02
860.04	4.68E-02
860.4	4.69E-02
860.76	4.69E-02
861.12	4.70E-02
861.48	4.71E-02
861.84	4.71E-02
862.2	4.72E-02
862.56	4.73E-02
862.92	4.73E-02
863.28	4.74E-02
863.64	4.75E-02
864	4.75E-02
864.36	4.76E-02
864.72	4.77E-02
865.08	4.77E-02
865.44	4.78E-02
865.8	4.79E-02
866.16	4.79E-02
866.52	4.80E-02
866.88	4.81E-02
867.24	4.82E-02
867.6	4.82E-02
867.96	4.83E-02
868.32	4.84E-02
868.68	4.84E-02
869.04	4.85E-02
869.4	4.86E-02
869.76	4.86E-02
870.12	4.87E-02
870.48	4.88E-02
870.84	4.89E-02
871.2	4.89E-02
871.56	4.90E-02
871.92	4.91E-02
872.28	4.91E-02
872.64	4.92E-02
873	4.93E-02
873.36	4.94E-02
873.72	4.94E-02
874.08	4.95E-02
874.44	4.96E-02
874.8	4.97E-02
875.16	4.97E-02
875.52	4.98E-02
875.88	4.99E-02
876.24	4.99E-02
876.6	5.00E-02
876.96	5.01E-02
877.32	5.02E-02
877.68	5.02E-02
878.04	5.03E-02
878.4	5.04E-02
878.76	5.05E-02
879.12	5.05E-02
879.48	5.06E-02
879.84	5.07E-02
880.2	5.08E-02
880.56	5.08E-02
880.92	5.09E-02
881.28	5.10E-02
881.64	5.11E-02
882	5.11E-02
882.36	5.12E-02
882.72	5.13E-02
883.08	5.14E-02
883.44	5.15E-02
883.8	5.15E-02
884.16	5.16E-02
884.52	5.17E-02
884.88	5.18E-02
885.24	5.18E-02
885.6	5.19E-02
885.96	5.20E-02
886.32	5.21E-02
886.68	5.22E-02
887.04	5.22E-02
887.4	5.23E-02
887.76	5.24E-02
888.12	5.25E-02
888.48	5.26E-02
888.84	5.26E-02
889.2	5.27E-02
889.56	5.28E-02
889.92	5.29E-02
890.28	5.30E-02
